,username,in_reply_to_screen_name,type
0,TAMU,382,I
781,tamustuact,2,I
783,TAMUGeosciences,2,I
828,AggieAshley,2,I
849,TAMUDSA,2,I
850,TAMU_Biology,2,I
1219,DZAggiegal,1,I
1250,aggieteach03,1,I
1263,tamu_justin1914,1,I
1332,tamuweather,1,I
1398,aggieshell92,1,I
1407,aggiephotogs,1,I
1426,tamuansc,1,I
1468,CEOTAMUChapter,1,I
1495,tamusuperfund,1,I
738,texaggie09,2,I
1542,aggieluvbug,1,I
1609,aggiefblife,1,I
1615,CRDLLA_TAMU,1,I
1631,tamu_bsyb,1,I
1653,The12thCanTAMU,1,I
1664,tamuwc,1,I
1665,Clear_TAMU,1,I
1666,TAMU_SAAHE,1,I
1672,JArnoldTAMU85,1,I
1712,TAMU_PEAP,1,I
1713,tamu_tlac,1,I
1715,TAMUEAHR,1,I
1759,JobsforAggies,1,I
1762,AggieZach10,1,I
1763,aggie_love08,1,I
1597,tamucdd,1,I
714,tamu_sga,2,I
698,hireaggies,2,I
695,aggiejournalist,2,I
282,FishCampTAMU,3,I
286,Mattietheaggie,3,I
300,tamu_sbp,3,I
330,AggieSTEM,3,I
336,TAMUWRC,3,I
371,astro_aggie,2,I
381,tamusfaid,2,I
390,emmonsaggie,2,I
413,historyTAMU,2,I
415,TheEnglishAggie,2,I
433,tamucarpool,2,I
467,TAMUCristie,2,I
468,TAMUC_COSE,2,I
507,AggieDiversity,2,I
539,TAMUVMTH,2,I
543,ArmchairTAMU,2,I
545,iTP3_TAMU,2,I
679,Aggiebound,2,I
658,AggieStudents,2,I
655,AggieMuster,2,I
653,reedaggie05,2,I
648,tamuRingDance,2,I
640,TAMU_ATC,2,I
1783,HBLtamu,1,I
615,2024aggies,2,I
604,gregorytamu2020,2,I
587,TAMUBookstore,2,I
573,aggielandmeme,2,I
560,JermTheAggie,2,I
552,TAMU_ASA,2,I
549,TAMU_CAPS,2,I
613,TAMU_1988,2,I
1829,aggieEthanpark1,1,I
1843,tamuundergrads,1,I
1878,aggiecyclone08,1,I
2714,SanDiegoAggies,1,I
2716,friscoaggies,1,I
2717,SoCalAggies,1,I
2738,ComalAggies,1,I
2739,NETCAggies,1,I
2740,DallasAggies,1,I
2750,SaltyAggies,1,I
2764,DCAggies,1,I
2766,EllisAggiesClub,1,I
2770,mcaggies,1,I
2841,TAMUabroad,1,I
2865,AggieEquestrian,1,I
2908,BigAggieRing,1,I
2956,dannytamucc,1,I
2957,ATCaggie,1,I
2967,Aggie_Njnear,1,I
2968,hood_co_aggies,1,I
3313,AggieMTEN,1,I
3306,AggieExplorer,1,I
3288,TravelingAggies,1,I
3255,AggiesRevenge,1,I
3237,tamuepsy,1,I
3230,tamuarabs,1,I
2713,NewYorkAggies,1,I
3224,aggiejoe10,1,I
3135,TAMUgardens,1,I
3125,OutlawAggie,1,I
3076,TAMUPhysicsFest,1,I
3074,AggieBear90,1,I
3026,aggiemd91,1,I
2987,atxaggie07,1,I
3177,pre_aggie15,1,I
273,aggiewomensgolf,3,I
2689,TAMUequipment,1,I
2611,TAMUCOSC,1,I
1898,TamuABMC,1,I
1913,aggiegrad03,1,I
2015,v2aggie2,1,I
2099,DALaggielawyer,1,I
2138,TAMULawCSO,1,I
2162,AggieWHarris,1,I
2167,GJGarciaTAMU,1,I
2174,TAMUOSS,1,I
2202,TAMUclip,1,I
2209,TAMULawFS,1,I
2235,TAMUCT,1,I
2244,tamucc_cose,1,I
2253,texasaggierodeo,1,I
2264,AggieBatman,1,I
2293,wtamu,1,I
2297,TAMUTexarkana,1,I
2312,FutureAggieRN,1,I
2609,aggiefamily02,1,I
2606,tamu_cali,1,I
2595,MyAggieRing,1,I
2573,Aggie72BQ,1,I
2560,tamubaen,1,I
2558,TAMU_UGR,1,I
2645,AggieRabbi,1,I
2556,tamuicehockey,1,I
2510,natalietamu15,1,I
2496,tamudesign,1,I
2483,aggieprez,1,I
2441,HinojosaAggie09,1,I
2382,TAMU_SHS,1,I
2358,TAMUCVEN,1,I
2554,SustainableTAMU,1,I
269,vizlabTAMU,3,I
1657,TAMUGreenDot,1,I
3326,TAMUNAACP,1,I
18,tamuvetmed,20,I
87,AggieNetworkAmb,5,I
15,AggieWBB,23,I
96,AggieMensGolf,5,I
106,the_good_aggie,5,I
108,AggiesByTheSea,5,I
146,TAMULawACS,4,I
13,aggieachieve,29,I
208,carolinaaggie12,3,I
12,TAMUPolice,41,I
83,AggieVP,6,I
11,TAMUHealth,47,I
218,AggieDining,3,I
227,aggiembk,3,I
9,TAMUnursing,93,I
137,TAMUVET1,4,I
136,NSFPtamu,4,I
133,AggieSwimDive,4,I
231,AggieGossip,3,I
112,TAMU_Honors,5,I
234,TTITAMU,3,I
8,TAMUBGSA,95,I
10,TAMU_SPH,60,I
19,TAMU_OCSS,19,I
20,TAMUmedicine,18,I
79,txaggie_2011,6,I
57,TAMU_SPMT,7,I
59,AggieSoftball,7,I
61,TAMUARCH,7,I
41,TAMUQ,8,I
40,AggieBaseball,8,I
