,username,retweet_or_quote_screen_name,type
0,TAMU,4145,I
769,AggieRabbi,3,I
768,AggieLawDR,3,I
2817,AggieQuadMoms,1,I
2822,WTAMU_Police,1,I
759,tamuSPHresearch,3,I
2823,TamuSAAC,1,I
754,TAMULawFVAC,3,I
744,astro_aggie,3,I
737,tamuSGRho,3,I
717,ColoniasTAMU,3,I
715,TAMUCVEN,3,I
2858,RuralHealthTAMU,1,I
707,AggielandHumane,3,I
697,SAAggieClub,3,I
695,save_tamu,3,I
694,Aolp_Tamu,3,I
689,TAMU_NRI,3,I
2864,AggieATO,1,I
686,TamupdK,3,I
2856,TAMUHealth_CEDP,1,I
844,TAMUComm,2,I
770,MyAggieNation,3,I
815,TAMUCTE,3,I
829,TAMUNeuro,2,I
2689,aggiefamily02,1,I
970,TAMU_fitness,2,I
966,BigAggieRing,2,I
2408,tamucouncils,1,I
948,tamuansc,2,I
945,txaggie_2011,2,I
942,Bird_AggieVB,2,I
939,tamumonarchlab,2,I
2724,tamuIfSC,1,I
899,CSE_at_TAMU,2,I
678,SRW_TAMU,3,I
897,BLOCtamu,2,I
884,TAMUHealthIPER,2,I
881,ChabadTAMU,2,I
2717,AggieExplorer,1,I
874,DCAggies,2,I
872,aggiehillel,2,I
871,TAMU2019,2,I
864,TAMU_Hunger,2,I
785,TAMUGandG,3,I
831,tamuenvp,2,I
585,ohAGGIE17,4,I
631,wfsctamu,3,I
2868,BamaTXAggie,1,I
674,TAMUhack,3,I
673,CVMRGS_TAMU,3,I
2982,Aggie_Planners,1,I
492,FlourishTAMU,5,I
2997,TAMUMUSA,1,I
2998,TAMUPress,1,I
483,TAMUCAdmissions,5,I
3019,MaggieComstock,1,I
473,TAMU_RPTS,5,I
470,fortworthaggies,5,I
465,IPAggies,5,I
448,tamuhsc,5,I
498,TAMULawHLSA,5,I
436,tamucet,5,I
431,tamu_senate,5,I
428,bwstamu,6,I
426,TAMU_Architect,6,I
421,TAMUBookstore,6,I
420,TexasAggie_mag,6,I
419,tamuicehockey,6,I
1840,FLED_tamu,1,I
2713,aggiefan1337,1,I
393,tamuRingDance,6,I
389,TAMUChemistry,6,I
435,TAMUEnergyInst,5,I
975,TAMU_BRAINS,2,I
526,AggieDanceTeam,4,I
531,aggieswamp,4,I
671,TamuANRP,3,I
664,aggiefieldstaff,3,I
662,TAMUExCEL,3,I
634,EIStamu,3,I
413,EEP_TAMU,6,I
629,TAMUequipment,3,I
2889,AggieTimber,1,I
620,FOCUStamu,3,I
619,TAMU_ISA,4,I
614,AggieReplant,4,I
530,TAMU_MANRRS,4,I
612,TAMUPD_K9Mays,4,I
592,TAMUECON,4,I
591,AggielandYRBK,4,I
2902,TAMUHotelCC,1,I
396,TAMU_ASA,6,I
584,2024aggies,4,I
950,SCA_TAMU,2,I
581,TravelingAggies,4,I
563,TAMUFiesta,4,I
1763,TamuABMC,1,I
557,sbslctamu,4,I
553,DallasAggies,4,I
604,BESOTAMU1,4,I
379,TAMU_Safety,7,I
2678,TAMUGradSchool,1,I
1024,tamhn_aggies,2,I
2056,TAMU_Reveille,1,I
1554,tamucc_cla,1,I
1541,WTAMUMusic,1,I
2081,tamubtho,1,I
2082,TAMUExecEd,1,I
1527,aggiejet93,1,I
2143,texasaggierodeo,1,I
2149,aggiemyrrh,1,I
2152,CEOTAMUChapter,1,I
2213,TAMUASB,1,I
2222,AggieResearch,1,I
2230,maggieNYT,1,I
2239,emmonsaggie,1,I
1883,TamuPLSP,1,I
2249,tamuip,1,I
1442,ArmyAggie03,1,I
1391,atxaggie07,1,I
1826,TAMUReadsCounts,1,I
1397,friscoaggies,1,I
2317,ABStamu,1,I
1434,tamu1989,1,I
1576,AggieAdmin92,1,I
2019,tamu_atmo,1,I
1593,aggiefblife,1,I
1596,TAMUEngComm,1,I
2058,TAMUequine,1,I
1791,DgcTamu,1,I
1852,tamuwww,1,I
1854,AggieSTEM,1,I
1855,TAMU_edtech,1,I
1859,ADEP4Aggies,1,I
1871,TAMUclassof17,1,I
1878,ELInstituteTAMU,1,I
2250,HinojosaAggie09,1,I
2324,aggiesforhaiti,1,I
1881,SSC_TAMU,1,I
1808,teaach_aggies,1,I
2404,Aggie_Con,1,I
1056,txaggie2016,2,I
1020,TAMU_2020,2,I
1942,TAMUPhysAstr,1,I
1670,CRDLLA_TAMU,1,I
1657,Aggiegirl2016,1,I
1651,SULTANICAGGIE5,1,I
1976,aggieteach03,1,I
1630,aggie_KDP,1,I
1613,ALECaggies,1,I
1884,LambdaPiChiTAMU,1,I
2326,TAMUA2A,1,I
2328,aggieband89,1,I
2341,AggieFJSA,1,I
1200,tamu_apm,2,I
2531,tamu_ewalk,1,I
1175,WTAMUTrackXC,2,I
1161,texasaggielaw03,2,I
2591,BfcTamu,1,I
1124,Aggie_Meat,2,I
1122,AggiePhotogs,2,I
1121,MarshallMTAMU,2,I
1120,AggieHumor,2,I
1114,TAMUMRE,2,I
1886,WCL_TAMU,1,I
1894,tamuelection,1,I
2601,TAMUMathHelp,1,I
1100,SparkTAMU,2,I
1099,TAMU_Deltas,2,I
1098,TAMUPRESIDENT69,2,I
1086,TAMU_AVPA,2,I
1064,VOPTAMU,2,I
1048,AggieAshley,2,I
1034,AggieOutfitters,2,I
2657,the_good_aggie,1,I
1110,ResiTamu,2,I
2521,TAMUSGAFSN,1,I
1215,tamuamwl,2,I
2502,TAMUClassof25,1,I
1365,TAMUECE,1,I
